Date,Open,High,Low,Close,Volume,Change
2010-06-29,9801,9930,9762,9812,73,0.000918086300112142
2010-06-30,0,0,0,9812,0,0.0
2010-07-01,9718,9968,8510,9970,853,0.016102731349368016
2010-07-02,9868,9868,9680,9684,35,-0.02868605817452352
2010-07-05,9666,9666,9666,9668,1,-0.00165220983064851
2010-07-06,9664,9664,9593,9596,42,-0.007447248655357841
2010-07-07,0,0,0,9596,0,0.0
2010-07-08,9639,9671,9628,9672,779,0.00791996665277206
2010-07-09,9638,9676,9638,9679,2,0.0007237386269645096
2010-07-12,9679,9777,9679,9781,62,0.010538278747804553
2010-07-13,9747,9777,9747,9781,180,0.0
2010-07-14,9673,9963,9673,9765,1318,-0.00163582455781619
2010-07-15,9762,9762,9762,9765,60,0.0
2010-07-16,9626,9626,9137,9596,674,-0.01730670762928832
2010-07-19,9588,9588,9583,9591,578,-0.0005210504376823577
2010-07-20,9609,9635,9593,9638,208,0.004900427484099579
2010-07-21,9638,9676,9638,9679,239,0.004253994604689781
2010-07-22,9718,9718,9718,9722,4,0.004442607707407786
2010-07-23,9806,9824,9801,9803,623,0.008331619008434377
2010-07-26,9845,9920,9681,9840,1546,0.003774354789350287
2010-07-27,9799,9802,9588,9773,1402,-0.006808943089430919
2010-07-28,9804,9808,9804,9812,5,0.003990586309219335
2010-07-29,0,0,0,9812,0,0.0
2010-07-30,9777,9777,9777,9781,1,-0.0031593966571544785
2010-08-02,9743,9820,9743,9822,357,0.004191800429403925
2010-08-03,9824,9828,9824,9831,178,0.0009163103237630477
2010-08-04,9722,9847,9722,9848,1,0.0017292238836335017
2010-08-05,0,0,0,9848,0,0.0
2010-08-06,9847,9847,9742,9848,394,0.0
2010-08-09,0,0,0,9848,0,0.0
2010-08-10,0,0,0,9831,0,-0.0017262388302193843
2010-08-11,9826,9826,9629,9789,99,-0.004272200183094266
2010-08-12,9739,9756,9680,9697,911,-0.009398304219021325
2010-08-13,9717,9724,9680,9684,79,-0.001340620810559967
2010-08-16,9806,9806,9791,9794,1,0.011358942585708354
2010-08-17,9713,9716,9708,9718,32,-0.007759852971206849
2010-08-18,9689,9689,9671,9672,17,-0.0047334842560197155
2010-08-19,9660,9660,9624,9626,8,-0.004755996691480524
2010-08-20,9624,9624,9546,9626,61,0.0
2010-08-23,9597,9597,9597,9601,20,-0.002597132765426946
2010-08-24,9597,9597,9597,9601,1,0.0
2010-08-25,9643,9643,9643,9646,4,0.0046870117696073965
2010-08-26,9609,9609,9551,9558,32,-0.00912295251917894
2010-08-27,9441,9583,9441,9587,91,0.00303410755388156
2010-08-30,9541,9624,9484,9626,2779,0.004068008761864972
2010-08-31,9525,9579,9525,9584,327,-0.004363183045917318
2010-09-01,9582,9596,9564,9570,10,-0.001460767946577679
2010-09-02,9500,9619,9500,9621,137,0.005329153605015735
2010-09-03,0,0,0,9608,0,-0.001351210892838628
2010-09-06,9567,9574,9545,9550,622,-0.00603663613655292
2010-09-07,9664,9676,9659,9679,218,0.013507853403141423
2010-09-08,9694,9694,9661,9664,10,-0.001549746874677127
2010-09-09,9599,9599,9579,9584,5,-0.008278145695364225
2010-09-10,9579,9579,9579,9584,1,0.0
2010-09-13,9617,9672,9617,9674,141,0.00939065108514181
2010-09-14,9736,9736,9736,9739,4,0.00671904072772378
2010-09-15,9741,9741,9741,9743,10,0.0004107197864258172
2010-09-16,9701,9701,9694,9697,3,-0.00472133839679767
2010-09-17,9761,9773,9761,9777,10,0.008249974218830669
2010-09-20,9777,9777,9777,9781,10,0.000409123453001925
2010-09-24,0,0,0,9781,0,0.0
2010-09-27,9811,9987,9811,9822,748,0.004191800429403925
2010-09-28,0,0,0,9822,0,0.0
2010-09-29,9801,9801,9801,9803,104,-0.0019344329057218168
2010-09-30,0,0,0,9803,0,0.0
2010-10-01,9694,9796,9694,9798,100,-0.0005100479445068196
2010-10-04,9726,9736,9726,9739,15,-0.006021637068789554
2010-10-05,9757,9917,9757,9920,115,0.01858507033576351
2010-10-06,9880,9917,9880,9920,17,0.0
2010-10-07,9930,9930,9930,9932,12,0.0012096774193548487
2010-10-08,9880,9880,9880,9882,113,-0.00503423278292392
2010-10-11,9950,9993,9950,9996,26,0.011536126290224713
2010-10-12,10033,10059,10023,10027,410,0.003101240496198532
2010-10-13,10021,10172,9968,9970,240,-0.005684651441108968
2010-10-14,10244,10244,10244,10248,4,0.027883650952858607
2010-10-15,10326,10333,10326,10336,18,0.00858704137392663
2010-10-18,10272,10272,10272,10275,9,-0.005901702786377694
2010-10-19,0,0,0,10353,0,0.007591240875912453
2010-10-20,10482,10600,10365,10413,391,0.005795421616922702
2010-10-21,0,0,0,10413,0,0.0
2010-10-22,10427,10451,10427,10446,228,0.0031691155286661665
2010-10-25,10354,10397,10286,10399,813,-0.0044993298870380505
2010-10-26,10383,10383,10259,10261,6,-0.013270506779498037
2010-10-27,10322,10322,10322,10323,1,0.0060422960725075026
2010-10-28,10303,10303,10194,10211,59,-0.010849559236655981
2010-10-29,10137,10137,10137,10138,4,-0.007149152874351139
2010-11-01,0,0,0,10320,0,0.017952258828171308
2010-11-02,10372,10396,10350,10361,1181,0.003972868217054337
2010-11-03,10350,10555,10331,10557,774,0.018917092944696456
2010-11-04,12083,12083,10503,10561,334,0.00037889551956049594
